"condition","ics_c.trend","SE","df","lower.CL","upper.CL"
"neutral",0.0501130015835582,0.191516489481891,137,-0.328597682389622,0.428823685556738
"competitive",0.0334562268440842,0.181756977328379,137,-0.32595569317984,0.392868146868008
"supportive",0.60011133467568,0.153375583925175,137,0.296821667816049,0.903401001535311
