"condition","emmean","SE","df","lower.CL","upper.CL"
"neutral",4.24441407502363,0.178823104069012,137,3.89080368755574,4.59802446249153
"competitive",3.99430874365863,0.197663056274949,137,3.60344364666032,4.38517384065694
"supportive",4.37567951194722,0.233095325932713,137,3.91474953900473,4.83660948488971
