"condition","emmean","SE","df","lower.CL","upper.CL"
"neutral",3.11170358989509,0.163429730116945,137,2.78853254054275,3.43487463924744
"competitive",3.83920700410553,0.179032209309502,137,3.48518312540844,4.19323088280263
"supportive",3.39359821366602,0.212325514694238,137,2.97373911374024,3.8134573135918
