"contrast","estimate","SE","df","t.ratio","p.value"
"neutral - competitive",0.250105331365002,0.203157072258856,137,1.23109340267675,0.661191595930763
"neutral - supportive",-0.131265436923589,0.229677643063839,137,-0.571520306341282,1
"competitive - supportive",-0.381370768288591,0.23032448031374,137,-1.65579780216632,0.300154781370605
