"contrast","estimate","SE","df","t.ratio","p.value"
"neutral - competitive",-0.727503414210441,0.185244383724516,137,-3.9272630002772,0.000406746043508665
"neutral - supportive",-0.28189462377093,0.209853345886179,137,-1.34329344419328,0.544193727575726
"competitive - supportive",0.445608790439512,0.209789344554329,137,2.12407732807475,0.106380484069617
